,Transaction ID,Customer ID,Day,Month,Year,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount
0,1,CUST001,Friday,11,2023,2023-11-24,Male,34,25 - 34,Beauty,3,50,150
1,2,CUST002,Monday,2,2023,2023-02-27,Female,26,25 - 34,Clothing,2,500,1000
2,3,CUST003,Friday,1,2023,2023-01-13,Male,50,45 - 54,Electronics,1,30,30
3,4,CUST004,Sunday,5,2023,2023-05-21,Male,37,35 - 44,Clothing,1,500,500
4,5,CUST005,Saturday,5,2023,2023-05-06,Male,30,25 - 34,Beauty,2,50,100
5,6,CUST006,Tuesday,4,2023,2023-04-25,Female,45,45 - 54,Beauty,1,30,30
6,7,CUST007,Monday,3,2023,2023-03-13,Male,46,45 - 54,Clothing,2,25,50
7,8,CUST008,Wednesday,2,2023,2023-02-22,Male,30,25 - 34,Electronics,4,25,100
8,9,CUST009,Wednesday,12,2023,2023-12-13,Male,63,54 - 65,Electronics,2,300,600
9,10,CUST010,Saturday,10,2023,2023-10-07,Female,52,45 - 54,Clothing,4,50,200
10,11,CUST011,Tuesday,2,2023,2023-02-14,Male,23,18 - 24,Clothing,2,50,100
11,12,CUST012,Monday,10,2023,2023-10-30,Male,35,35 - 44,Beauty,3,25,75
12,13,CUST013,Saturday,8,2023,2023-08-05,Male,22,18 - 24,Electronics,3,500,1500
13,14,CUST014,Tuesday,1,2023,2023-01-17,Male,64,54 - 65,Clothing,4,30,120
14,15,CUST015,Monday,1,2023,2023-01-16,Female,42,35 - 44,Electronics,4,500,2000
15,16,CUST016,Friday,2,2023,2023-02-17,Male,19,18 - 24,Clothing,3,500,1500
16,17,CUST017,Saturday,4,2023,2023-04-22,Female,27,25 - 34,Clothing,4,25,100
17,18,CUST018,Sunday,4,2023,2023-04-30,Female,47,45 - 54,Electronics,2,25,50
18,19,CUST019,Saturday,9,2023,2023-09-16,Female,62,54 - 65,Clothing,2,25,50
19,20,CUST020,Sunday,11,2023,2023-11-05,Male,22,18 - 24,Clothing,3,300,900
20,21,CUST021,Saturday,1,2023,2023-01-14,Female,50,45 - 54,Beauty,1,500,500
21,22,CUST022,Sunday,10,2023,2023-10-15,Male,18,18 - 24,Clothing,2,50,100
22,23,CUST023,Wednesday,4,2023,2023-04-12,Female,35,35 - 44,Clothing,4,30,120
23,24,CUST024,Wednesday,11,2023,2023-11-29,Female,49,45 - 54,Clothing,1,300,300
24,25,CUST025,Tuesday,12,2023,2023-12-26,Female,64,54 - 65,Beauty,1,50,50
25,26,CUST026,Saturday,10,2023,2023-10-07,Female,28,25 - 34,Electronics,2,500,1000
26,27,CUST027,Thursday,8,2023,2023-08-03,Female,38,35 - 44,Beauty,2,25,50
27,28,CUST028,Sunday,4,2023,2023-04-23,Female,43,35 - 44,Beauty,1,500,500
28,29,CUST029,Friday,8,2023,2023-08-18,Female,42,35 - 44,Electronics,1,30,30
29,30,CUST030,Sunday,10,2023,2023-10-29,Female,39,35 - 44,Beauty,3,300,900
30,31,CUST031,Tuesday,5,2023,2023-05-23,Male,44,35 - 44,Electronics,4,300,1200
31,32,CUST032,Wednesday,1,2023,2023-01-04,Male,30,25 - 34,Beauty,3,30,90
32,33,CUST033,Thursday,3,2023,2023-03-23,Female,50,45 - 54,Electronics,2,50,100
33,34,CUST034,Sunday,12,2023,2023-12-24,Female,51,45 - 54,Clothing,3,50,150
34,35,CUST035,Saturday,8,2023,2023-08-05,Female,58,54 - 65,Beauty,3,300,900
35,36,CUST036,Saturday,6,2023,2023-06-24,Male,52,45 - 54,Beauty,3,300,900
36,37,CUST037,Tuesday,5,2023,2023-05-23,Female,18,18 - 24,Beauty,3,25,75
37,38,CUST038,Tuesday,3,2023,2023-03-21,Male,38,35 - 44,Beauty,4,50,200
38,39,CUST039,Friday,4,2023,2023-04-21,Male,23,18 - 24,Clothing,4,30,120
39,40,CUST040,Thursday,6,2023,2023-06-22,Male,45,45 - 54,Beauty,1,50,50
40,41,CUST041,Wednesday,2,2023,2023-02-22,Male,34,25 - 34,Clothing,2,25,50
41,42,CUST042,Friday,2,2023,2023-02-17,Male,22,18 - 24,Clothing,3,300,900
42,43,CUST043,Friday,7,2023,2023-07-14,Female,48,45 - 54,Clothing,1,300,300
43,44,CUST044,Sunday,2,2023,2023-02-19,Female,22,18 - 24,Clothing,1,25,25
44,45,CUST045,Monday,7,2023,2023-07-03,Female,55,54 - 65,Electronics,1,30,30
45,46,CUST046,Monday,6,2023,2023-06-26,Female,20,18 - 24,Electronics,4,300,1200
46,47,CUST047,Monday,11,2023,2023-11-06,Female,40,35 - 44,Beauty,3,500,1500
47,48,CUST048,Tuesday,5,2023,2023-05-16,Male,54,54 - 65,Electronics,3,300,900
48,49,CUST049,Monday,1,2023,2023-01-23,Female,54,54 - 65,Electronics,2,500,1000
49,50,CUST050,Thursday,8,2023,2023-08-24,Female,27,25 - 34,Beauty,3,25,75
50,51,CUST051,Monday,10,2023,2023-10-02,Male,27,25 - 34,Beauty,3,25,75
51,52,CUST052,Sunday,3,2023,2023-03-05,Female,36,35 - 44,Beauty,1,300,300
52,53,CUST053,Thursday,7,2023,2023-07-13,Male,34,25 - 34,Electronics,2,50,100
53,54,CUST054,Friday,2,2023,2023-02-10,Female,38,35 - 44,Electronics,3,500,1500
54,55,CUST055,Tuesday,10,2023,2023-10-10,Male,31,25 - 34,Beauty,4,30,120
55,56,CUST056,Wednesday,5,2023,2023-05-31,Female,26,25 - 34,Clothing,3,300,900
56,57,CUST057,Saturday,11,2023,2023-11-18,Female,63,54 - 65,Beauty,1,30,30
57,58,CUST058,Monday,11,2023,2023-11-13,Male,18,18 - 24,Clothing,4,300,1200
58,59,CUST059,Wednesday,7,2023,2023-07-05,Male,62,54 - 65,Clothing,1,50,50
59,60,CUST060,Monday,10,2023,2023-10-23,Male,30,25 - 34,Beauty,3,50,150
60,61,CUST061,Sunday,4,2023,2023-04-09,Male,21,18 - 24,Beauty,4,50,200
61,62,CUST062,Wednesday,12,2023,2023-12-27,Male,18,18 - 24,Beauty,2,50,100
62,63,CUST063,Sunday,2,2023,2023-02-05,Male,57,54 - 65,Electronics,2,25,50
63,64,CUST064,Tuesday,1,2023,2023-01-24,Male,49,45 - 54,Clothing,4,25,100
64,65,CUST065,Tuesday,12,2023,2023-12-05,Male,51,45 - 54,Electronics,4,500,2000
65,66,CUST066,Thursday,4,2023,2023-04-27,Female,45,45 - 54,Electronics,1,30,30
66,67,CUST067,Monday,5,2023,2023-05-29,Female,48,45 - 54,Beauty,4,300,1200
67,68,CUST068,Friday,2,2023,2023-02-10,Male,25,25 - 34,Electronics,1,300,300
68,69,CUST069,Sunday,4,2023,2023-04-30,Female,56,54 - 65,Beauty,3,25,75
69,70,CUST070,Tuesday,2,2023,2023-02-21,Female,43,35 - 44,Clothing,1,300,300
70,71,CUST071,Friday,7,2023,2023-07-14,Female,51,45 - 54,Beauty,4,25,100
71,72,CUST072,Tuesday,5,2023,2023-05-23,Female,20,18 - 24,Electronics,4,500,2000
72,73,CUST073,Monday,8,2023,2023-08-21,Male,29,25 - 34,Electronics,3,30,90
73,74,CUST074,Wednesday,11,2023,2023-11-22,Female,18,18 - 24,Beauty,4,500,2000
74,75,CUST075,Thursday,7,2023,2023-07-06,Male,61,54 - 65,Beauty,4,50,200
75,76,CUST076,Saturday,3,2023,2023-03-25,Female,22,18 - 24,Electronics,2,50,100
76,77,CUST077,Sunday,7,2023,2023-07-09,Female,47,45 - 54,Clothing,2,50,100
77,78,CUST078,Saturday,7,2023,2023-07-01,Female,47,45 - 54,Clothing,3,500,1500
78,79,CUST079,Tuesday,4,2023,2023-04-18,Male,34,25 - 34,Beauty,1,300,300
79,80,CUST080,Sunday,12,2023,2023-12-10,Female,64,54 - 65,Clothing,2,30,60
80,81,CUST081,Wednesday,5,2023,2023-05-17,Male,40,35 - 44,Electronics,1,50,50
81,82,CUST082,Tuesday,12,2023,2023-12-26,Female,32,25 - 34,Beauty,4,50,200
82,83,CUST083,Saturday,12,2023,2023-12-16,Male,54,54 - 65,Electronics,2,50,100
83,84,CUST084,Tuesday,11,2023,2023-11-28,Female,38,35 - 44,Electronics,3,30,90
84,85,CUST085,Monday,2,2023,2023-02-06,Male,31,25 - 34,Clothing,3,50,150
85,86,CUST086,Wednesday,11,2023,2023-11-08,Male,19,18 - 24,Beauty,3,30,90
86,87,CUST087,Wednesday,11,2023,2023-11-22,Female,28,25 - 34,Beauty,2,50,100
87,88,CUST088,Wednesday,3,2023,2023-03-29,Male,56,54 - 65,Clothing,1,500,500
88,89,CUST089,Sunday,10,2023,2023-10-01,Female,55,54 - 65,Electronics,4,500,2000
89,90,CUST090,Saturday,5,2023,2023-05-06,Female,51,45 - 54,Electronics,1,30,30
90,91,CUST091,Saturday,3,2023,2023-03-25,Female,55,54 - 65,Electronics,1,500,500
91,92,CUST092,Friday,8,2023,2023-08-25,Female,51,45 - 54,Electronics,4,30,120
92,93,CUST093,Friday,7,2023,2023-07-14,Female,35,35 - 44,Beauty,4,500,2000
93,94,CUST094,Friday,5,2023,2023-05-19,Female,47,45 - 54,Beauty,2,500,1000
94,95,CUST095,Friday,11,2023,2023-11-24,Female,32,25 - 34,Clothing,2,30,60
95,96,CUST096,Tuesday,12,2023,2023-12-19,Female,44,35 - 44,Clothing,2,300,600
96,97,CUST097,Friday,10,2023,2023-10-13,Female,51,45 - 54,Beauty,2,500,1000
97,98,CUST098,Sunday,4,2023,2023-04-23,Female,55,54 - 65,Beauty,2,50,100
98,99,CUST099,Sunday,12,2023,2023-12-17,Female,50,45 - 54,Electronics,4,300,1200
99,100,CUST100,Friday,6,2023,2023-06-16,Male,41,35 - 44,Electronics,1,30,30
100,101,CUST101,Sunday,1,2023,2023-01-29,Male,32,25 - 34,Clothing,2,300,600
101,102,CUST102,Friday,4,2023,2023-04-28,Female,47,45 - 54,Beauty,2,25,50
102,103,CUST103,Tuesday,1,2023,2023-01-17,Female,59,54 - 65,Clothing,1,25,25
103,104,CUST104,Sunday,6,2023,2023-06-11,Female,34,25 - 34,Beauty,2,500,1000
104,105,CUST105,Tuesday,7,2023,2023-07-25,Female,22,18 - 24,Electronics,1,500,500
105,106,CUST106,Thursday,5,2023,2023-05-18,Female,46,45 - 54,Clothing,1,50,50
106,107,CUST107,Friday,2,2023,2023-02-03,Female,21,18 - 24,Clothing,4,300,1200
107,108,CUST108,Wednesday,4,2023,2023-04-19,Female,27,25 - 34,Beauty,3,25,75
108,109,CUST109,Wednesday,10,2023,2023-10-18,Female,34,25 - 34,Electronics,4,500,2000
109,110,CUST110,Sunday,6,2023,2023-06-11,Male,27,25 - 34,Clothing,3,300,900
110,111,CUST111,Wednesday,4,2023,2023-04-19,Female,34,25 - 34,Electronics,3,500,1500
111,112,CUST112,Saturday,12,2023,2023-12-02,Male,37,35 - 44,Clothing,3,500,1500
112,113,CUST113,Wednesday,9,2023,2023-09-13,Female,41,35 - 44,Electronics,2,25,50
113,114,CUST114,Saturday,7,2023,2023-07-22,Female,22,18 - 24,Beauty,4,25,100
114,115,CUST115,Sunday,11,2023,2023-11-26,Male,51,45 - 54,Clothing,3,500,1500
115,116,CUST116,Wednesday,8,2023,2023-08-23,Female,23,18 - 24,Clothing,1,30,30
116,117,CUST117,Wednesday,3,2023,2023-03-15,Male,19,18 - 24,Electronics,2,500,1000
117,118,CUST118,Tuesday,5,2023,2023-05-16,Female,30,25 - 34,Electronics,4,500,2000
118,119,CUST119,Monday,3,2023,2023-03-13,Female,60,54 - 65,Clothing,3,50,150
119,120,CUST120,Sunday,5,2023,2023-05-07,Male,60,54 - 65,Beauty,1,50,50
120,121,CUST121,Sunday,10,2023,2023-10-15,Female,28,25 - 34,Electronics,4,50,200
121,122,CUST122,Tuesday,10,2023,2023-10-03,Male,64,54 - 65,Electronics,4,30,120
122,123,CUST123,Monday,5,2023,2023-05-15,Female,40,35 - 44,Electronics,2,30,60
123,124,CUST124,Friday,10,2023,2023-10-27,Male,33,25 - 34,Clothing,4,500,2000
124,125,CUST125,Tuesday,8,2023,2023-08-08,Male,48,45 - 54,Clothing,2,50,100
125,126,CUST126,Thursday,10,2023,2023-10-26,Female,28,25 - 34,Clothing,3,30,90
126,127,CUST127,Monday,7,2023,2023-07-24,Female,33,25 - 34,Clothing,2,25,50
127,128,CUST128,Wednesday,7,2023,2023-07-05,Male,25,25 - 34,Beauty,1,500,500
128,129,CUST129,Sunday,4,2023,2023-04-23,Female,21,18 - 24,Beauty,2,300,600
129,130,CUST130,Sunday,3,2023,2023-03-12,Female,57,54 - 65,Clothing,1,500,500
130,131,CUST131,Monday,9,2023,2023-09-18,Female,21,18 - 24,Beauty,2,300,600
131,132,CUST132,Sunday,9,2023,2023-09-10,Male,42,35 - 44,Electronics,4,50,200
132,133,CUST133,Thursday,2,2023,2023-02-16,Male,20,18 - 24,Electronics,3,300,900
133,134,CUST134,Wednesday,1,2023,2023-01-25,Male,49,45 - 54,Electronics,1,50,50
134,135,CUST135,Sunday,2,2023,2023-02-26,Male,20,18 - 24,Clothing,2,25,50
135,136,CUST136,Monday,3,2023,2023-03-20,Male,44,35 - 44,Electronics,2,300,600
136,137,CUST137,Saturday,11,2023,2023-11-18,Male,46,45 - 54,Beauty,2,500,1000
137,138,CUST138,Thursday,3,2023,2023-03-23,Male,49,45 - 54,Clothing,4,50,200
138,139,CUST139,Friday,12,2023,2023-12-15,Male,36,35 - 44,Beauty,4,500,2000
139,140,CUST140,Saturday,8,2023,2023-08-05,Male,38,35 - 44,Electronics,1,30,30
140,141,CUST141,Thursday,11,2023,2023-11-02,Female,22,18 - 24,Electronics,1,50,50
141,142,CUST142,Thursday,2,2023,2023-02-02,Male,35,35 - 44,Electronics,4,300,1200
142,143,CUST143,Monday,7,2023,2023-07-17,Female,45,45 - 54,Clothing,1,50,50
143,144,CUST144,Saturday,7,2023,2023-07-15,Female,59,54 - 65,Beauty,3,500,1500
144,145,CUST145,Thursday,11,2023,2023-11-02,Female,39,35 - 44,Clothing,3,25,75
145,146,CUST146,Monday,8,2023,2023-08-28,Male,38,35 - 44,Clothing,4,50,200
146,147,CUST147,Thursday,9,2023,2023-09-28,Male,23,18 - 24,Electronics,1,300,300
